ID,Date,Title,Introduction,Information,Serves,Makes,Diet,Meat Type,Time taken,Cuisine,Dish Type,Difficulty,Photo?,DONE?,,,,
27,,Pasta Puttanesca,"My good friend Lewis gave me a slow cooker for my birthday this year, its fantastic because it allows me to braise meat and stews for a long time without having to be in the house. When I am sweating it out in the kitchen at work for 16 hours a day I can have my dinner slowly cooking for when I get back. I make tomato sauce with the slow cooker; tinned tomatoes, onion, garlic, and tomato puree simmered gently for several hours until it is dark and reduced. I then puree and pass it through a fine sieve to make it extra smooth. What you get is an amazingly rich dark red sauce. This can be used for any number of things, but my current favourite is to make salty pungent puttanesca with it. Classic puttanesca sauce is accompanied by spaghetti; literally “whore’s style spaghetti”, it’s packed with in-your-face flavours. Traditionally made with tomatoes, garlic, black olives, anchovies and capers, it’s salty and more-ish. It’s a good dish to have in your repertoire; because it’s made almost entirely with store cupboard ingredients it can be rustled up with just a moment’s notice, although in my recipe the tomato sauce is simmered for eight hours to make it extra rich. This isn’t essential but will make your sauce taste amazing! I recommend making a big batch of sauce and freezing it. As there are so many big and bold flavours going on here, I have added a good handful of parsley and basil to bring some freshness to the dish and vital splash of green, making it particularly eye-catching. I’m pleased with the photograph too, I think it does justice to the dish.",,4,,,,,,,,,,6,Accompaniment,,
28,,Chocolate Mousse,"For the last six months at work I’ve been on desserts, getting to grips with the complexities of sugar, caramel, chocolate and eggs in all their different forms (not to mention all the fantastic fruit and berries in season just now!). Chocolate is a steadfast ingredient in any dessert menu and quite fascinating to work with. Recently I have just learned how to temper chocolate to give it an amazingly shiny, brittle finish. It’s not the easiest thing to achieve; a precise technique that’s really satisfying when it works properly! Another thing I’ve been getting my head around is chocolate mousse; a classic dessert which is subtly difficult to perfect. I remember making it when I was young; whipped cream folded into melted chocolate, always resulting in a smooth but rather dense and rich mousse. A perfect mousse should be really light and melts in the mouth; not what I have in my memories of childhood! The lightness comes from incorporating whipped cream and whipped egg whites into the melted chocolate, but the result depends of the temperature of the chocolate; too hot and the air will collapse from the mousse; too cold and the chocolate will sieze up and become grainy. This recipe works well, the secret here is to heat and whisk egg yolks with sugar and water (or coffee, as in this recipe) to create a silky light sabayon which the chocolate is then melted into. From there I add whipped cream, and lastly some soft whipped egg whites to make it extra light and aerated.",,,,,,,,,,,,7,Bakery,,
29,,Chicken and Coriander Broth,"I was clearing out my fridge a few weeks ago and came across a selection of root vegetables lurking there, waiting to be turned into something tasty. The first thing that came to my mind was soup, and since we were in the middle of winter I was thinking along the lines of a chunky, meaty broth. I decided on Chicken, which would provide my soup with both the chunky meat component and the stock. A bunch of fresh coriander which also happened to be in my fridge could be involved here in some way, I thought. I remembered a Madhur Jaffrey recipe for coriander chicken curry, involving large quantities of fresh coriander, resulting in a vibrant green curry sauce. It was fantastic, and so I reckoned it could work in my soup too. The earthiness of all those root vegetables would be balanced by the fresh zing of the coriander, perhaps. I prepared the chicken in my usual way; removed the breasts, then cut up the remaining carcass into small pieces and fried until nicely caramelised for the stock. This time I actually chopped up the wings and legs too and added them to the stock for extra flavour. Once the stock was almost ready, after an hour or so, I took some out to gently poach the breast meat in a separate pan. Once perfectly barely cooked, I allowed them to cool before carefully cutting them into dice. All the vegetables and chicken diced to the same size, making for an attractive looking bowl of broth.",,,,,,,,,,,,8,Dessert,,
30,,Custard Tart,"After my quiche, which turned out to be lovely after a few attempts, the next obvious thing to do cook in my nice 9 x 2 inch cake ring was something sweet. I’ve always loved custard in its various forms; crème brûlée, anglaise, crème caramel…and custard tarts. The custard tart was glorified by Marcus Wareing when he cooked it for the Queen’s 80th birthday on the Great British Menu, and his recipe is “as close to perfection as any custard tart can be”, to quote the man himself. So this is it, except mine is bigger, and I used a different pastry to make the case. It’s the same basic pâte Brisée that Thomas Keller uses in his quiche, with the addition of sugar. It gives a simple, but beautifully light crust. You need a decent oven with a fan in it to cook the pastry. If your oven isn’t hot enough when you blind bake the pastry it’ll not set into shape properly. The oven in my new flat is rubbish, it heats from the bottom by a gas flame and there’s no fan so it doesn’t cook evenly at all. By the time the sides of the pastry were cooked the bottom was burnt! My first attempt was a disaster so I resorted to calling a friend; “Hi Richard can I come over to yours and make a custard tart?” He burst out laughing at me – this was quite an unusual request apparently – but was more than happy for me to make use of his oven to make delicious treats! And the pastry turned out beautifully. Thanks Richard!",,,,,,,,,,,,,,,
31,,Chicken and Pancetta,"I made this for my dinner a few weeks ago, I didn’t intend for it to be photographed and put up here, but it looked so good that I had to take a few snaps of it. It’s a really nice way to prepare chicken, and pretty easy too. I like chicken legs because they have so much more flavour than the breast meat, and by removing the bones and sinew they become an effortless pleasure to eat! The great thing about this dish is when you slice the chicken leg you see the beautiful glistening cross-section of the muscle, outlined by the crispy pancetta. I served it with sautéed button mushrooms, courgettes and a white wine cream sauce, generously finished with chopped parsley and a handful of baby spinach gently wilted through the sauce at the end. I love cooking vegetables and sauce together like this, in a kind of ragout…I advise a generous heap to present your chicken on, and have it with a salad and some nice white wine.",,,,,,,,,,,,,,,
32,,Leek and Roquefort Quiche,"I was recently given the Bouchon collection, a set of books by one of my idols; Thomas Keller of The French Laundry. Bouchon is the three Michelin starred chef’s bistro in Yountville, California that serves French classics like beef bourguignon, salt cod brandade, and quiche. There is a chapter on the quiche where Keller talks about the lost art of making great quiche; something which seems to have gone out of fashion, or forgotten about. A proper quiche will be two inches deep, filled to the very brim with a barely set, perfectly light custard. The shortcrust pastry should be rich and crisp, and specifically 4-5mm thick, so that it remains crisp and doesn’t become soggy after cooking. I had a couple of attempts at this quiche before getting a satisfactory result, and I was pleased with my third try. I actually bought a 9″ quiche ring especially for the task as none of the pastry rings in my house were quite the right size. One of the brilliant things about this recipe is the lightness of the custard; Keller blitzes the custard mix in a blender before pouring into the pastry shell, aerating the mix and resulting in a delicate light filling. This recipe is more or less the same as that found in Bouchon, but I’ve added spinach to the filling and converted the ingredients from pounds and ounces to kilograms.",,,,,,,,,,,,,,,
33,,Hummus,"I have a wonderful book called Jerusalem by Yottam Ottolenghi and Sami Tamimi. Kind of an ode to their home city, it’s filled with stories and delicious recipes. I like middle eastern food because for me it strikes a perfect balance between the heavily spiced dishes of the subcontinent further east, and the simpler, more fresh cuisine found in the mediterranean to the west. Jerusalem is an ancient city with a turbulent history; having been besieged, conquered and captured countless times. As a result it’s a city of many varying cultures, religions and traditions, and the food of Jerusalem reflects this diversity. Hummus is a big thing in the middle east, especially in Jerusalem, and unsurprisingly there is an endless debate from opposing cultures about how it should be prepared; warm or cold… smooth and creamy or rustic and chunky. And which spices or garnishes to accompany it, if any at all. Most of the hummus I have had from the shops here in the UK have been almost smooth with a slight grainy texture to them. This recipe from Ottolenghi is really smooth and creamy, and much lighter in colour than hummus I’ve had before. It’s opened my eyes to how great hummus can be… I definitely recommend you try it! I made it into a light lunch by simply garnishing it with a pile of chopped coriander, tomatoes, pine nuts and olive oil. I devoured it with some fresh toasted pitta bread. Fantastic.",,,,,,,,,,,,,,,
34,,Mum's Tomato Soup,"This soup is extremely popular in our household, and one of the first recipes I learned off by heart. Probably closer to minestrone than tomato, It’s thick and hearty, guaranteed to fill you up. Instead of pasta, as in a typical minestrone, this soup has a handful of rice thrown in the beginning which swells up to thicken the liquid and give it some body. You could use lentils instead, if you prefer. This is a chunky, broth-like soup rather than being smooth and silky, and although I like to cut all the vegetables to a nice uniform shape and size, you can cut them any old way and be as rustic as you like. As with many soups, the quality of this one comes down to the stock. I will usually make this soup after cooking a joint of smoked gammon or bacon, using the delicious salty liquid as the meaty backbone for my tomatoey broth. I highly advise this, if not then some nice vegetable stock is an acceptable alternative. This soup is best enjoyed with freshly baked bread and butter. As for us, we were treated to Dad’s crusty baguettes, still piping hot from the oven",,,,,,,,,,,,,,,
35,,Confit Guineafowl with Lentils,"My confit guinea fowl legs had been sitting happily in the fridge since last week and were just waiting to be turned into something tasty. After the success of the root veg that I served with the breast, I decided to go with something similar…with the addition of lentils. We serve puy lentils like this at work, served with hake which is pan fried with a nice crisp skin. It’s a really versatile garnish though, and works well with chicken, confit duck also. Although the flavour of the confit legs will be best if you leave them to mature in the fat for a week or more, you can do them just a day ahead and still get delicious results. I love lentils prepared like this. The addition of diced vegetables and bacon brings a freshness to the heavy lentils and elevates this dusty store-cupboard ingredient to new heights. And finishing it with freshly chopped garlic and a little white wine vinegar gives a much needed kick. A drizzle of olive oil around, and some crunchy sea salt on the crispy confit skin gives the final touch.",,,,,,,,,,,,,,,
36,,Pork and Apple Sauce,"It’s apple season once again, and I was lucky to receive a huge box of bramley apples from the garden back home. There are three or four apple trees that surround the house; at this time of year the ground is awash with hundreds of them that have fallen in the wind. I peeled and chopped about thirty of them, tossed in a little lemon juice stewed them with several heaped spoonfuls sugar to make a smooth compote. It’s got delicious tang like only a bramley can give. I’m planning to make a few deep dish apple pies with the compote combined with some chunks of a sweet eating variety mixed through, but before I get round to it I wanted to make another classic dish and one of my all time favourites: roast pork and apple sauce. Bramley apples are perfect to accompany pork belly; the distinctive tang cuts through the rich fattiness of the meat and really makes the dish. I didn’t serve mine with any potatoes, just a generous heap of shredded sauteed cabbage. It was delicious. This method of cooking pork belly is one of the simplest I know of, and easily my favourite. The slow cooking process and the pressing of the belly afterwards makes for the best crunchy crackling you could imagine, and properly melt-in-the-mouth succulent meat. It’s really hard to beat.",,,,,,,,,,,,,,,
37,,Chicken Confit with Lemon Dressing,"Confit is one of my favourite ways of cooking meat; with something like a duck leg the meat will be amazingly tender and succulent, and the crisp crunchy skin giving a lovely texture contrast. It’s hard not to adore this! Chicken confit is not often heard of, but its great. Elevating the humble chicken leg to new heights. Lemon chicken was something my mum often made when we were young. Simply place some chicken legs in a roasting tray with olive oil, lemons and seasoning and roast in a hot oven until golden and crisp. You get a load of amazingly tasty juices in the tray which are spooned over potatoes or mopped up with crusty bread. One of my favourite ever meals! So this is a new version of that dish; the confit chicken has a superior texture, and the lemon and olive oil dressing is enriched with the jus from the confit and loaded with chopped fresh herbs. For this one, I served it with some sauteed pak choi and buttered new potatoes.",,,,,,,,,,,,,,,
38,,Barley Risotto with Chicken,"Years ago my friend Cecily showed me how to make risotto, she was so enthusiastic about the merits of this dish and was amazed that I’d never made it before! It was the start of a beautiful relationship; now a staple in my repertoire, I must have made hundreds of risottos, including a few variations…barley is a nice alternative to rice and perfect to serve with chicken I reckon. We feed barley to the hens on the farm, so this seems like an apt combination for a dish. A benefit of using barley instead of rice is that it’s considerably more difficult to overcook. Also the grains give a lovely bursting sensation when you chew them which is quite fantastic. Firstly, I like to caramelise some finely diced pancetta or home-cured bacon to release some vital fat and get an amazing flavour base before adding finely chopped onion to sweat down slowly and gently. I will sweat the onion for a good fifteen minutes before adding anything else, making sure they become soft and sweet. To add some extra flavour and a nice touch of colour, I cooked some carrot dice and some baby button mushrooms in a separate pan to be stirred into the risotto at the very end, along with a generous handful of chopped herbs.",,,,,,,,,,,,,,,
39,,Salmon and Holandaise,"This is another classic combination: it’s also an enduring favourite of mine. I’m a confessed fanatic of hollandaise sauce so I think this recipe was bound to find it’s way up here sooner or later! I’ve told you already about my love of of the best to crisp up, it colours quite easily and also has a delicious layer of fat underneath which melts in your mouth alongside the crunchy skin. The sumptuous oily flesh is offset perfectly by the vinegary tang of the sauce. I like to sit the salmon fillet on a bed of spinach sauteed with a little garlic, it complements the other strong flavours in the dish, and adds a nice bit of colour too.",,,,,,,,,,,,,,,
40,,Duck Rillettes,"I think it’s high time I put a recipe for duck up here. This bird is rich in taste, tender in texture and a deep red colour; winning attributes I’m sure you’ll agree. At work we have made duck confit, pan fried breast (cooked pink and moist), terrine and rillettes. I also made some duck ham at home which was delicious. Duck’s versatility speaks for itself; there are a myriad different ways to prepare it. The best thing about it though is the thick layer of insulating fat under it’s skin which keeps the animal warm in freezing cold weather. For chefs this is the most indispensable part of the animal; the fat melts during cooking, keeping the meat beautifully moist and succulent. Excess fat collects in the bottom of the roasting tray but should never be thrown away! This is essential for your confit. This method of cooking meat was originally used for preservation, a form of charcuterie. Meat that had been lightly cured, then slowly and gently cooked in it’s own fat was then left to cool, the fat setting around the meat, completely sealing it from any moisture or bacteria from the air. When left for 5-6 months in a cool larder, the flavours had matured, resulting in a true authentic confit. It is not essential to mature your confit for quite this long; a fantastic flavour is still achievable in a few days.",,,,,,,,,,,,,,,
41,,Raspberry Cordial,"I had some leftover raspberry puree from when I made the chocolate and raspberry brownies, so I decided to turn it into cordial. My mum makes blackcurrant cordial from hoards of blackcurrant bushes we have back home and it’s fantastic. She puts it in empty Ribena bottles and it’s indistinguishable from the genuine article! I’ve always loved Ribena, and although blackcurrant cordial is quite readily available I’ve never come across a raspberry version. So here it is; the sweet taste of summer in a bottle. A basic fruit cordial consists of fruit, sugar and water. My first attempt was simply to make a sugar syrup, add the raspberry puree and bring to the boil. The result was excellent, yielding a really fresh raspberry flavour. When I subsequently did some research online, I found that most of the recipes for fruit cordial involved heating the sugar water and fruit together and simmering for 10 minutes or so before allowing to cool and bottling. I tried a second batch using this method, also adding some lemon juice and peel for a extra dimension in flavour, and although the flavour was good it was not as fresh as the first method which didn’t involve cooking the fruit for as long. In addition I think it tasted better without the lemon; I believe the amazing flavour of fresh raspberries should be allowed to shine without hindrance. This is simple, unadorned raspberry flavour!",,,,,,,,,,,,,,,
42,,Braised Pig's Cheeks,"Pigs and pork has been a popular topic of conversation at work the past week or so, in part due to my adventures making bacon, and the amazing Ibérico ham which Marc and I sampled at a wine-tasting the other week. It’s easily the best ham I’ve ever tasted; it comes as a whole leg with hoof still attached, and a special wooden stand is provided to mount it on, enabling easy slicing. The black Iberian pigs that are reared for this ham are fed on a strict diet of acorns which gives the meat it’s distinctive flavour. The hams are salted and left for two weeks; they’re then rinsed and left to cure for 24-36 months. The result is a cured meat with brilliant texture and flavour. So, it was a happy moment when we found out we could get black Iberian pig’s cheeks from one of our meat suppliers at work. Marcus had told us of the delicious meal he cooked with pig’s cheeks he bought from Waitrose; they are tasty and very cheap. We ordered in a couple of packs of the special Iberian cheeks. This wasn’t to serve in the restaurant though, this was just for the boys to take home! So… I had six pigs cheeks in my fridge waiting to be turned into something tasty. As I was at work for the rest of the week it was going to be 4 days before I’d get time to cook them so I decided to brine the cheeks to prevent them from going off. I immersed them in brine for 24 hours, then in fresh water overnight to reduce the saltiness. I added garlic, peppercorns and bay to my brine to add some flavour. Then I got out of bed early this morning to get them in the oven. I got the idea of cooking pork with ale from a recipe for belly pork on the channel 4 website (here). I have done that recipe a few times now and it’s really, really tasty. So this pig’s cheeks recipe is pretty similar.",,,,,,,,,,,,,,,
43,,Pancakes,"Pancakes are great. When I was little I always looked forward to Shrove Tuesday because it was pancake day! Dinner consisted of as many pancakes as you could possibly eat, accompanied by a variety of fillings. The most popular, and an all-time classic was sugar and lemon juice. Simple and delicious; hard to beat. Other household favourites were bolognese sauce; maple syrup; and – I think it deserves a mention, although I realise that this will cause severe discontent among some – Marmite. “Crazy talk!” I hear you say, but if you (like me) are not a hater but a lover, put some Marmite on your pancake along with some butter, it’s fantastic. The final addition to my list of classic and favourite fillings is a relatively new one for me. My friend Richard, a fellow pancake obsessive, is an advocate for butter and sugar being the all-time best pancake filler. I was surprised that I had never before thought of this combination, they are two ingredients that almost everyone is bound to have in their house, and it’s a winner. So if you make pancakes you must try it. Make sure you use plenty of butter; fry the pancake in butter and put more butter on after flipping and before adding plenty of granulated sugar. Sweet buttery goodness. Lovely.Today I decided to have a break from tradition and try some new fillings. I found in my fridge some smoked salmon, crème fraîche and spinach… I waved my magic wand and very soon I had two delicious pancake fillings ready to be married in tasty happiness to some beautiful crêpes.",,,,,,,,,,,,,,,
44,,Steak Tartare,"I have become very fond of raw meat. I only recently tried steak tartare, the classic dish of diced raw beef, for the first time and instantly fell in love with it. It is traditionally served with finely chopped shallots, parsley, capers and gherkins, and I have learned that there is some debate about how many extra ingredients to add to the meat. Some like to include condiments such as Worcester sauce, tomato ketchup, mustard, lemon juice and even brandy. One thing is pretty indisputable though, which is that the meat – being the central aspect of the dish – should be of the highest possible quality. I have had discussions about steak tartare with Alan, fellow Wedgwood chef, who believes that this dish is a pure and simple celebration of meat and should be accompanied by little more than some herbs and seasoning. I appreciate his sentiment and agree that the dish should simple, but I do like to include a couple of extra ingredients…",,,,,,,,,,,,,,,
45,,Lamb Bolognese,"Bolognese sauce in our household was always quite different to what most would consider classic bolognese, which would typically be made with beef and pork. Our sauce would nearly always contain some lamb due to the abundant supply in our freezer. The mince from our own lamb was usually quite fatty and, when mixed in equal parts with lean beef mince, gave a lovely depth of flavour and body to the sauce. It always tasted fantastic; ladled onto a mountain of spaghetti with handfuls of grated parmesan I would devour it with gusto. Lamb bolognese is almost unheard of, which is a shame because it’s so delicious! In my view this is tastier than the classic beef bolognese and I bet that many would agree. Saying that, the recipe I’ve made here is not a plain spag-bol but a modified version, or upgraded, I should say. I made it a little bit creamier than usual, and added extra garlic. A good pile of baby spinach is thrown in and wilted down to tangle with the spaghetti as everything is mixed together. Parmesan cheese is mixed in, along with a splash of the salted starchy pasta water and finally some cherry tomatoes at the very last just to warm through gently. The final sauce is really rich and creamy, with the spinach and tomatoes giving a juiciness that stands up to the strong flavoured lamb.",,,,,,,,,,,,,,,
46,,"Poached egg, Sauteed Potatoes",,,,,,,,,,,,,,,,
